image_file,rank,hex,rgb,percentage,color_name,brand_personality
83.jpg,1,#141311,"(20, 19, 17)",33.43,Black,Luxury / Powerful
83.jpg,2,#6a5b55,"(106, 91, 85)",24.22,Mixed,Custom Branding
83.jpg,3,#423630,"(66, 54, 48)",22.4,Mixed,Custom Branding
83.jpg,4,#9d787e,"(157, 120, 126)",13.71,Mixed,Custom Branding
83.jpg,5,#d9d2d2,"(217, 210, 210)",6.24,White,Minimal / Clean
88.jpg,1,#fbfdfa,"(251, 253, 250)",86.75,White,Minimal / Clean
88.jpg,2,#a9b7c1,"(169, 183, 193)",4.52,Mixed,Custom Branding
88.jpg,3,#cedee5,"(206, 222, 229)",3.47,White,Minimal / Clean
88.jpg,4,#10528a,"(16, 82, 138)",3.11,Mixed,Custom Branding
88.jpg,5,#6a8da5,"(106, 141, 165)",2.15,Blue,Trust / Professional
35.jpg,1,#faf9f9,"(250, 249, 249)",51.78,White,Minimal / Clean
35.jpg,2,#df2029,"(223, 32, 41)",28.59,Red,Bold / Energetic
35.jpg,3,#c8acac,"(200, 172, 172)",7.38,Mixed,Custom Branding
35.jpg,4,#1a0d0d,"(26, 13, 13)",7.14,Black,Luxury / Powerful
35.jpg,5,#524849,"(82, 72, 73)",5.12,Mixed,Custom Branding
21.jpg,1,#fbfcfa,"(251, 252, 250)",84.83,White,Minimal / Clean
21.jpg,2,#080707,"(8, 7, 7)",6.5,Black,Luxury / Powerful
21.jpg,3,#bab9b9,"(186, 185, 185)",3.58,Mixed,Custom Branding
21.jpg,4,#747373,"(116, 115, 115)",2.59,Mixed,Custom Branding
21.jpg,5,#313030,"(49, 48, 48)",2.51,Black,Luxury / Powerful
37.jpg,1,#f6f6f6,"(246, 246, 246)",65.46,White,Minimal / Clean
37.jpg,2,#090909,"(9, 9, 9)",19.3,Black,Luxury / Powerful
37.jpg,3,#c6c6c6,"(198, 198, 198)",5.71,Mixed,Custom Branding
37.jpg,4,#444444,"(68, 68, 68)",5.09,Mixed,Custom Branding
37.jpg,5,#898989,"(137, 137, 137)",4.45,Mixed,Custom Branding
2.jpg,1,#f7fbf8,"(247, 251, 248)",68.36,White,Minimal / Clean
2.jpg,2,#157c47,"(21, 124, 71)",13.89,Mixed,Custom Branding
2.jpg,3,#a2d4bd,"(162, 212, 189)",7.71,Mixed,Custom Branding
2.jpg,4,#f6cb46,"(246, 203, 70)",5.27,Yellow,Optimistic / Creative
2.jpg,5,#5a9f7c,"(90, 159, 124)",4.78,Green,Growth / Eco
31.jpg,1,#f8f8f8,"(248, 248, 248)",61.54,White,Minimal / Clean
31.jpg,2,#0b0b13,"(11, 11, 19)",13.35,Black,Luxury / Powerful
31.jpg,3,#acaeb8,"(172, 174, 184)",12.53,Mixed,Custom Branding
31.jpg,4,#4c4e68,"(76, 78, 104)",8.76,Mixed,Custom Branding
31.jpg,5,#4970e5,"(73, 112, 229)",3.82,Blue,Trust / Professional
36jpg.jpg,1,#f7faf8,"(247, 250, 248)",56.74,White,Minimal / Clean
36jpg.jpg,2,#0d76ed,"(13, 118, 237)",23.89,Blue,Trust / Professional
36jpg.jpg,3,#e62916,"(230, 41, 22)",11.73,Red,Bold / Energetic
36jpg.jpg,4,#7eb3e6,"(126, 179, 230)",4.16,Mixed,Custom Branding
36jpg.jpg,5,#ec9b93,"(236, 155, 147)",3.48,Mixed,Custom Branding
36.jpg,1,#f3d82a,"(243, 216, 42)",30.15,Yellow,Optimistic / Creative
36.jpg,2,#bf941b,"(191, 148, 27)",21.51,Mixed,Custom Branding
36.jpg,3,#352f26,"(53, 47, 38)",19.3,Black,Luxury / Powerful
36.jpg,4,#f8f9f6,"(248, 249, 246)",18.33,White,Minimal / Clean
36.jpg,5,#806f37,"(128, 111, 55)",10.71,Mixed,Custom Branding
60.jpg,1,#19231d,"(25, 35, 29)",26.94,Black,Luxury / Powerful
60.jpg,2,#a3bfaa,"(163, 191, 170)",20.95,Mixed,Custom Branding
60.jpg,3,#42534a,"(66, 83, 74)",20.18,Mixed,Custom Branding
60.jpg,4,#71867a,"(113, 134, 122)",17.14,Mixed,Custom Branding
60.jpg,5,#d8e8d5,"(216, 232, 213)",14.8,White,Minimal / Clean
55.jpg,1,#f5fcfb,"(245, 252, 251)",58.18,White,Minimal / Clean
55.jpg,2,#168f86,"(22, 143, 134)",21.85,Teal,Sophisticated / Balanced
55.jpg,3,#abdcd9,"(171, 220, 217)",7.39,Mixed,Custom Branding
55.jpg,4,#6bb2ac,"(107, 178, 172)",7.08,Mixed,Custom Branding
55.jpg,5,#0e4b51,"(14, 75, 81)",5.51,Mixed,Custom Branding
52jpg.jpg,1,#fcfafa,"(252, 250, 250)",53.4,White,Minimal / Clean
52jpg.jpg,2,#d51328,"(213, 19, 40)",27.46,Red,Bold / Energetic
52jpg.jpg,3,#b12d3c,"(177, 45, 60)",8.47,Mixed,Custom Branding
52jpg.jpg,4,#f0b8bb,"(240, 184, 187)",5.88,Mixed,Custom Branding
52jpg.jpg,5,#ce727a,"(206, 114, 122)",4.79,Mixed,Custom Branding
63jpg.jpg,1,#f8f6f3,"(248, 246, 243)",51.47,White,Minimal / Clean
63jpg.jpg,2,#1b3b5d,"(27, 59, 93)",16.54,Mixed,Custom Branding
63jpg.jpg,3,#e4c4bf,"(228, 196, 191)",14.04,Mixed,Custom Branding
63jpg.jpg,4,#b39190,"(179, 145, 144)",9.35,Mixed,Custom Branding
63jpg.jpg,5,#bb5948,"(187, 89, 72)",8.6,Mixed,Custom Branding
50jpg.jpg,1,#fbf9f8,"(251, 249, 248)",46.61,White,Minimal / Clean
50jpg.jpg,2,#c00506,"(192, 5, 6)",36.19,Mixed,Custom Branding
50jpg.jpg,3,#ac2c2f,"(172, 44, 47)",6.35,Mixed,Custom Branding
50jpg.jpg,4,#f2bebb,"(242, 190, 187)",5.95,Mixed,Custom Branding
50jpg.jpg,5,#ce7475,"(206, 116, 117)",4.9,Mixed,Custom Branding
93.jpg,1,#f5f9f7,"(245, 249, 247)",65.0,White,Minimal / Clean
93.jpg,2,#2c5abc,"(44, 90, 188)",15.9,Blue,Trust / Professional
93.jpg,3,#98b5df,"(152, 181, 223)",8.25,Mixed,Custom Branding
93.jpg,4,#ea861f,"(234, 134, 31)",7.68,Orange,Friendly / Energetic
93.jpg,5,#edc890,"(237, 200, 144)",3.16,Mixed,Custom Branding
45jpg.jpg,1,#f8faf9,"(248, 250, 249)",58.48,White,Minimal / Clean
45jpg.jpg,2,#0f548f,"(15, 84, 143)",18.15,Mixed,Custom Branding
45jpg.jpg,3,#bab3b3,"(186, 179, 179)",9.32,Mixed,Custom Branding
45jpg.jpg,4,#7d6969,"(125, 105, 105)",8.6,Mixed,Custom Branding
45jpg.jpg,5,#1f1f1f,"(31, 31, 31)",5.44,Black,Luxury / Powerful
25.jpg,1,#f7faf8,"(247, 250, 248)",44.12,White,Minimal / Clean
25.jpg,2,#2d4738,"(45, 71, 56)",20.14,Mixed,Custom Branding
25.jpg,3,#ccd6d0,"(204, 214, 208)",13.37,White,Minimal / Clean
25.jpg,4,#617269,"(97, 114, 105)",11.38,Teal,Sophisticated / Balanced
25.jpg,5,#9ba7a0,"(155, 167, 160)",11.0,Mixed,Custom Branding
77.jpg,1,#f9f6f3,"(249, 246, 243)",42.89,White,Minimal / Clean
77.jpg,2,#ae322b,"(174, 50, 43)",20.39,Mixed,Custom Branding
77.jpg,3,#2b1c13,"(43, 28, 19)",12.69,Black,Luxury / Powerful
77.jpg,4,#d1b6ac,"(209, 182, 172)",12.61,Mixed,Custom Branding
77.jpg,5,#ac756c,"(172, 117, 108)",11.42,Mixed,Custom Branding
4.jpg,1,#fafafa,"(250, 250, 250)",68.08,White,Minimal / Clean
4.jpg,2,#433d9e,"(67, 61, 158)",13.22,Blue,Trust / Professional
4.jpg,3,#c9c5d7,"(201, 197, 215)",9.34,Mixed,Custom Branding
4.jpg,4,#918db0,"(145, 141, 176)",8.26,Blue,Trust / Professional
4.jpg,5,#d22629,"(210, 38, 41)",1.1,Red,Bold / Energetic
37jpg.jpg,1,#e6e9ec,"(230, 233, 236)",49.94,White,Minimal / Clean
37jpg.jpg,2,#f8f9fa,"(248, 249, 250)",24.04,White,Minimal / Clean
37jpg.jpg,3,#ced1d3,"(206, 209, 211)",14.04,White,Minimal / Clean
37jpg.jpg,4,#b1b5ac,"(177, 181, 172)",7.92,Mixed,Custom Branding
37jpg.jpg,5,#857580,"(133, 117, 128)",4.06,Mixed,Custom Branding
1.jpg,1,#f6d913,"(246, 217, 19)",39.55,Yellow,Optimistic / Creative
1.jpg,2,#bf2a41,"(191, 42, 65)",22.43,Mixed,Custom Branding
1.jpg,3,#faf7f7,"(250, 247, 247)",20.08,White,Minimal / Clean
1.jpg,4,#e6b785,"(230, 183, 133)",15.17,Mixed,Custom Branding
1.jpg,5,#32302f,"(50, 48, 47)",2.77,Black,Luxury / Powerful
76.jpg,1,#f5f7f5,"(245, 247, 245)",47.79,White,Minimal / Clean
76.jpg,2,#bdbeb4,"(189, 190, 180)",16.83,Mixed,Custom Branding
76.jpg,3,#bfaf4e,"(191, 175, 78)",13.74,Mixed,Custom Branding
76.jpg,4,#737374,"(115, 115, 116)",12.02,Mixed,Custom Branding
76.jpg,5,#262728,"(38, 39, 40)",9.62,Black,Luxury / Powerful
49.jpg,1,#f9fafa,"(249, 250, 250)",32.41,White,Minimal / Clean
49.jpg,2,#d8def0,"(216, 222, 240)",23.44,White,Minimal / Clean
49.jpg,3,#1a346e,"(26, 52, 110)",23.35,Mixed,Custom Branding
49.jpg,4,#a1aac4,"(161, 170, 196)",11.68,Mixed,Custom Branding
49.jpg,5,#69779a,"(105, 119, 154)",9.12,Blue,Trust / Professional
23.jpg,1,#f2f4f4,"(242, 244, 244)",39.17,White,Minimal / Clean
23.jpg,2,#9e9ea0,"(158, 158, 160)",20.87,Mixed,Custom Branding
23.jpg,3,#070707,"(7, 7, 7)",17.96,Black,Luxury / Powerful
23.jpg,4,#3c5777,"(60, 87, 119)",17.84,Mixed,Custom Branding
23.jpg,5,#c15b47,"(193, 91, 71)",4.15,Mixed,Custom Branding
86.jpg,1,#b38d89,"(179, 141, 137)",32.39,Mixed,Custom Branding
86.jpg,2,#3f2219,"(63, 34, 25)",22.53,Mixed,Custom Branding
86.jpg,3,#7b5956,"(123, 89, 86)",19.58,Mixed,Custom Branding
86.jpg,4,#eccdc1,"(236, 205, 193)",15.23,Mixed,Custom Branding
86.jpg,5,#c78e24,"(199, 142, 36)",10.27,Mixed,Custom Branding
74.jpg,1,#0e6fbe,"(14, 111, 190)",57.74,Blue,Trust / Professional
74.jpg,2,#164770,"(22, 71, 112)",15.81,Mixed,Custom Branding
74.jpg,3,#e5ca4a,"(229, 202, 74)",11.23,Yellow,Optimistic / Creative
74.jpg,4,#c4d7bc,"(196, 215, 188)",8.1,Mixed,Custom Branding
74.jpg,5,#6c909f,"(108, 144, 159)",7.12,Blue,Trust / Professional
5.jpg,1,#f8fcf8,"(248, 252, 248)",59.44,White,Minimal / Clean
5.jpg,2,#8fb97a,"(143, 185, 122)",11.67,Green,Growth / Eco
5.jpg,3,#aecba6,"(174, 203, 166)",10.4,Mixed,Custom Branding
5.jpg,4,#d6ead1,"(214, 234, 209)",10.01,White,Minimal / Clean
5.jpg,5,#4d7960,"(77, 121, 96)",8.49,Mixed,Custom Branding
8jpg.jpg,1,#070807,"(7, 8, 7)",62.81,Black,Luxury / Powerful
8jpg.jpg,2,#f9faf9,"(249, 250, 249)",18.91,White,Minimal / Clean
8jpg.jpg,3,#7d7e7d,"(125, 126, 125)",8.72,Mixed,Custom Branding
8jpg.jpg,4,#c0c0c0,"(192, 192, 192)",5.7,Mixed,Custom Branding
8jpg.jpg,5,#4a4a4a,"(74, 74, 74)",3.87,Mixed,Custom Branding
24.jpg,1,#f2f3f3,"(242, 243, 243)",41.76,White,Minimal / Clean
24.jpg,2,#c8ccce,"(200, 204, 206)",26.63,Mixed,Custom Branding
24.jpg,3,#9ea6a6,"(158, 166, 166)",13.93,Mixed,Custom Branding
24.jpg,4,#5c7b74,"(92, 123, 116)",11.48,Teal,Sophisticated / Balanced
24.jpg,5,#314541,"(49, 69, 65)",6.21,Mixed,Custom Branding
10.jpg,1,#c4dcd1,"(196, 220, 209)",53.44,Mixed,Custom Branding
10.jpg,2,#cee4dc,"(206, 228, 220)",30.24,White,Minimal / Clean
10.jpg,3,#b1c0b8,"(177, 192, 184)",8.81,Mixed,Custom Branding
10.jpg,4,#8f988f,"(143, 152, 143)",4.99,Green,Growth / Eco
10.jpg,5,#884441,"(136, 68, 65)",2.52,Mixed,Custom Branding
8.jpg,1,#f2f2f2,"(242, 242, 242)",45.61,White,Minimal / Clean
8.jpg,2,#c7c3be,"(199, 195, 190)",22.91,Mixed,Custom Branding
8.jpg,3,#8d8794,"(141, 135, 148)",15.8,Mixed,Custom Branding
8.jpg,4,#554d49,"(85, 77, 73)",11.89,Mixed,Custom Branding
8.jpg,5,#b25d30,"(178, 93, 48)",3.79,Mixed,Custom Branding
17jpg.jpg,1,#f8fbfb,"(248, 251, 251)",67.23,White,Minimal / Clean
17jpg.jpg,2,#cae0e3,"(202, 224, 227)",11.9,White,Minimal / Clean
17jpg.jpg,3,#557d86,"(85, 125, 134)",10.7,Teal,Sophisticated / Balanced
17jpg.jpg,4,#8eadb2,"(142, 173, 178)",7.95,Mixed,Custom Branding
17jpg.jpg,5,#dfac77,"(223, 172, 119)",2.21,Mixed,Custom Branding
48jpg.jpg,1,#018131,"(1, 129, 49)",82.24,Mixed,Custom Branding
48jpg.jpg,2,#f7fcf9,"(247, 252, 249)",12.07,White,Minimal / Clean
48jpg.jpg,3,#1c753b,"(28, 117, 59)",3.27,Mixed,Custom Branding
48jpg.jpg,4,#78b18b,"(120, 177, 139)",1.44,Green,Growth / Eco
48jpg.jpg,5,#bae5c7,"(186, 229, 199)",0.99,Mixed,Custom Branding
47.jpg,1,#f51707,"(245, 23, 7)",38.89,Red,Bold / Energetic
47.jpg,2,#eaad5e,"(234, 173, 94)",18.1,Orange,Friendly / Energetic
47.jpg,3,#d86742,"(216, 103, 66)",17.89,Orange,Friendly / Energetic
47.jpg,4,#f5d8ae,"(245, 216, 174)",13.7,Mixed,Custom Branding
47.jpg,5,#7e3e1f,"(126, 62, 31)",11.42,Mixed,Custom Branding
29.jpg,1,#fbf9f9,"(251, 249, 249)",48.57,White,Minimal / Clean
29.jpg,2,#cb263e,"(203, 38, 62)",33.0,Red,Bold / Energetic
29.jpg,3,#aa3c51,"(170, 60, 81)",8.56,Mixed,Custom Branding
29.jpg,4,#f0bfc6,"(240, 191, 198)",5.41,Mixed,Custom Branding
29.jpg,5,#c97c89,"(201, 124, 137)",4.47,Mixed,Custom Branding
34.jpg,1,#f9f9f9,"(249, 249, 249)",53.06,White,Minimal / Clean
34.jpg,2,#1e1e1e,"(30, 30, 30)",21.85,Black,Luxury / Powerful
34.jpg,3,#c9c9c9,"(201, 201, 201)",11.62,White,Minimal / Clean
34.jpg,4,#515050,"(81, 80, 80)",6.94,Mixed,Custom Branding
34.jpg,5,#919191,"(145, 145, 145)",6.55,Mixed,Custom Branding
58.jpg,1,#fbfbfb,"(251, 251, 251)",71.11,White,Minimal / Clean
58.jpg,2,#e5e5e5,"(229, 229, 229)",20.39,White,Minimal / Clean
58.jpg,3,#c3c3c3,"(195, 195, 195)",3.84,Mixed,Custom Branding
58.jpg,4,#6b6b6b,"(107, 107, 107)",2.35,Mixed,Custom Branding
58.jpg,5,#222222,"(34, 34, 34)",2.3,Black,Luxury / Powerful
9.jpg,1,#4b1b0a,"(75, 27, 10)",40.4,Mixed,Custom Branding
9.jpg,2,#0c0405,"(12, 4, 5)",21.45,Black,Luxury / Powerful
9.jpg,3,#b58f59,"(181, 143, 89)",17.4,Mixed,Custom Branding
9.jpg,4,#583f2b,"(88, 63, 43)",12.28,Mixed,Custom Branding
9.jpg,5,#b33822,"(179, 56, 34)",8.47,Mixed,Custom Branding
27jpg.jpg,1,#fbfbf8,"(251, 251, 248)",46.62,White,Minimal / Clean
27jpg.jpg,2,#e85e35,"(232, 94, 53)",23.76,Red,Bold / Energetic
27jpg.jpg,3,#ecb09a,"(236, 176, 154)",17.12,Mixed,Custom Branding
27jpg.jpg,4,#eed3c6,"(238, 211, 198)",6.58,Mixed,Custom Branding
27jpg.jpg,5,#e68363,"(230, 131, 99)",5.93,Orange,Friendly / Energetic
19jpg.jpg,1,#040404,"(4, 4, 4)",54.23,Black,Luxury / Powerful
19jpg.jpg,2,#595959,"(89, 89, 89)",15.89,Mixed,Custom Branding
19jpg.jpg,3,#888888,"(136, 136, 136)",12.19,Mixed,Custom Branding
19jpg.jpg,4,#292929,"(41, 41, 41)",12.09,Black,Luxury / Powerful
19jpg.jpg,5,#bcbcbc,"(188, 188, 188)",5.59,Mixed,Custom Branding
16jpg.jpg,1,#f8f9f8,"(248, 249, 248)",52.15,White,Minimal / Clean
16jpg.jpg,2,#c5c8d2,"(197, 200, 210)",16.93,Mixed,Custom Branding
16jpg.jpg,3,#223fb4,"(34, 63, 180)",12.84,Blue,Trust / Professional
16jpg.jpg,4,#8f91a7,"(143, 145, 167)",10.35,Blue,Trust / Professional
16jpg.jpg,5,#40444b,"(64, 68, 75)",7.73,Mixed,Custom Branding
39.jpg,1,#fafaf8,"(250, 250, 248)",53.14,White,Minimal / Clean
39.jpg,2,#232120,"(35, 33, 32)",17.56,Black,Luxury / Powerful
39.jpg,3,#8c643d,"(140, 100, 61)",14.25,Mixed,Custom Branding
39.jpg,4,#d3cbc2,"(211, 203, 194)",7.6,Mixed,Custom Branding
39.jpg,5,#988f87,"(152, 143, 135)",7.46,Mixed,Custom Branding
32.jpg,1,#f9f7f7,"(249, 247, 247)",43.22,White,Minimal / Clean
32.jpg,2,#9f9596,"(159, 149, 150)",15.88,Mixed,Custom Branding
32.jpg,3,#d2c8c9,"(210, 200, 201)",14.73,Mixed,Custom Branding
32.jpg,4,#756a6b,"(117, 106, 107)",13.16,Mixed,Custom Branding
32.jpg,5,#a21625,"(162, 22, 37)",13.0,Mixed,Custom Branding
7.jpg,1,#fbfcfa,"(251, 252, 250)",86.54,White,Minimal / Clean
7.jpg,2,#0a0a0a,"(10, 10, 10)",4.71,Black,Luxury / Powerful
7.jpg,3,#b7888e,"(183, 136, 142)",4.0,Mixed,Custom Branding
7.jpg,4,#e8c8cb,"(232, 200, 203)",3.46,Mixed,Custom Branding
7.jpg,5,#4f4f4f,"(79, 79, 79)",1.28,Mixed,Custom Branding
42jpg.jpg,1,#f2f5e9,"(242, 245, 233)",36.16,White,Minimal / Clean
42jpg.jpg,2,#779494,"(119, 148, 148)",24.8,Mixed,Custom Branding
42jpg.jpg,3,#b4c3b8,"(180, 195, 184)",24.24,Mixed,Custom Branding
42jpg.jpg,4,#676a5b,"(103, 106, 91)",9.75,Mixed,Custom Branding
42jpg.jpg,5,#2a281d,"(42, 40, 29)",5.06,Black,Luxury / Powerful
78.jpg,1,#f3f0f2,"(243, 240, 242)",64.92,White,Minimal / Clean
78.jpg,2,#910d3b,"(145, 13, 59)",19.21,Mixed,Custom Branding
78.jpg,3,#a44b6a,"(164, 75, 106)",5.46,Mixed,Custom Branding
78.jpg,4,#eabdce,"(234, 189, 206)",5.25,Mixed,Custom Branding
78.jpg,5,#ce869e,"(206, 134, 158)",5.16,Pink,Playful / Feminine
32jpg.jpg,1,#050505,"(5, 5, 5)",56.84,Black,Luxury / Powerful
32jpg.jpg,2,#f8f8f8,"(248, 248, 248)",26.33,White,Minimal / Clean
32jpg.jpg,3,#3b3b3b,"(59, 59, 59)",6.28,Black,Luxury / Powerful
32jpg.jpg,4,#c3c3c3,"(195, 195, 195)",5.47,Mixed,Custom Branding
32jpg.jpg,5,#818181,"(129, 129, 129)",5.08,Mixed,Custom Branding
42.jpg,1,#e0d3a9,"(224, 211, 169)",44.41,Mixed,Custom Branding
42.jpg,2,#d3c49d,"(211, 196, 157)",39.61,Mixed,Custom Branding
42.jpg,3,#f5e5be,"(245, 229, 190)",12.21,Mixed,Custom Branding
42.jpg,4,#282818,"(40, 40, 24)",1.89,Black,Luxury / Powerful
42.jpg,5,#83826c,"(131, 130, 108)",1.88,Mixed,Custom Branding
61.jpg,1,#fbfafa,"(251, 250, 250)",76.48,White,Minimal / Clean
61.jpg,2,#242323,"(36, 35, 35)",7.7,Black,Luxury / Powerful
61.jpg,3,#bfb9b9,"(191, 185, 185)",6.81,Mixed,Custom Branding
61.jpg,4,#777373,"(119, 115, 115)",5.49,Mixed,Custom Branding
61.jpg,5,#c0201a,"(192, 32, 26)",3.52,Mixed,Custom Branding
62.jpg,1,#71706e,"(113, 112, 110)",34.01,Mixed,Custom Branding
62.jpg,2,#9b9a9b,"(155, 154, 155)",33.76,Mixed,Custom Branding
62.jpg,3,#533f30,"(83, 63, 48)",17.5,Mixed,Custom Branding
62.jpg,4,#be531b,"(190, 83, 27)",8.88,Mixed,Custom Branding
62.jpg,5,#dbd8d8,"(219, 216, 216)",5.85,White,Minimal / Clean
33.jpg,1,#1872af,"(24, 114, 175)",37.11,Blue,Trust / Professional
33.jpg,2,#edf3f4,"(237, 243, 244)",32.18,White,Minimal / Clean
33.jpg,3,#80a8c9,"(128, 168, 201)",15.91,Mixed,Custom Branding
33.jpg,4,#7b5e8c,"(123, 94, 140)",9.09,Mixed,Custom Branding
33.jpg,5,#1c4846,"(28, 72, 70)",5.71,Mixed,Custom Branding
